epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.306,2.00294,3.78601,2.21824,0.00335,1,0.20963,0.08592,1.43022,4.00332,1.80666,0.000407407,0.000407407,0.000407407
2,280.617,1.63123,3.05427,1.8087,0.31197,0.52812,0.44816,0.20454,1.5971,3.03539,1.94787,0.000813876,0.000813876,0.000813876
3,783.292,1.5887,2.82231,1.79047,0.33504,0.8375,0.47129,0.2038,1.7124,4.74213,2.40978,0.00121003,0.00121003,0.00121003
4,926.7,1.68,2.74032,1.93015,0.31057,0.63552,0.44739,0.16695,1.83949,5.41667,2.38283,0.00120359,0.00120359,0.00120359
5,1101.76,1.62952,2.58073,1.79194,0.44634,0.69244,0.6124,0.23134,1.8991,4.11739,2.26937,0.00118812,0.00118812,0.00118812
6,1332.57,1.57684,2.47326,1.75031,0.43606,0.65571,0.63982,0.33917,1.6111,4.68023,2.01659,0.00117266,0.00117266,0.00117266
7,1497.52,1.6628,2.36787,1.78947,0.63542,0.77091,0.6686,0.32722,1.72868,2.95611,2.23169,0.00115719,0.00115719,0.00115719
8,1666.71,1.59936,2.27976,1.72395,0.71287,0.78312,0.8811,0.43845,1.68253,2.80463,2.0675,0.00114172,0.00114172,0.00114172
9,1841.29,1.61942,2.20125,1.75121,0.64581,0.89355,0.87087,0.42031,1.50658,2.45094,1.82317,0.00112625,0.00112625,0.00112625
10,2001.92,1.57433,2.01942,1.7001,0.70054,0.83028,0.84104,0.37931,1.7148,2.41218,2.02796,0.00111078,0.00111078,0.00111078
11,2168.87,1.5736,1.99221,1.71039,0.86897,0.89909,0.92626,0.47603,1.5629,2.14939,1.88526,0.00109531,0.00109531,0.00109531
12,2366.52,1.58359,2.05496,1.74238,0.79437,0.92506,0.92027,0.47949,1.62275,1.96939,1.91875,0.00107984,0.00107984,0.00107984
13,2597.56,1.54942,2.00836,1.72813,0.70845,0.93085,0.95384,0.48997,1.57102,1.93115,1.85428,0.00106437,0.00106437,0.00106437
14,2823.02,1.55627,1.92415,1.70494,0.82448,0.8633,0.82391,0.38704,1.77609,2.14314,2.06902,0.00104891,0.00104891,0.00104891
15,2965.02,1.50637,1.8749,1.64888,0.79219,0.96875,0.93187,0.45723,1.61578,1.81383,1.84523,0.00103344,0.00103344,0.00103344
16,3109.28,1.5261,1.77674,1.64814,0.82631,0.89339,0.91989,0.45174,1.68938,1.99815,1.92535,0.00101797,0.00101797,0.00101797
17,3249.67,1.57519,1.74238,1.67338,0.9454,0.9888,0.99167,0.50685,1.66918,1.55584,1.89684,0.0010025,0.0010025,0.0010025
18,3391.47,1.50966,1.63503,1.63182,0.95567,0.99196,0.98806,0.4845,1.66365,1.60214,1.90383,0.000987031,0.000987031,0.000987031
19,4551.24,1.58327,1.64424,1.67219,0.758,0.87309,0.93994,0.51994,1.49727,1.62073,1.77926,0.000971562,0.000971562,0.000971562
20,4690.13,1.51822,1.66487,1.64704,0.89087,0.83267,0.959,0.54675,1.48826,1.69177,1.80865,0.000956094,0.000956094,0.000956094
21,4918.23,1.53699,1.73797,1.67781,0.94598,0.97489,0.98256,0.53812,1.57871,1.4754,1.8869,0.000940625,0.000940625,0.000940625
22,5061.58,1.48322,1.6015,1.66543,0.90134,1,0.98569,0.51334,1.5453,1.49151,1.85962,0.000925156,0.000925156,0.000925156
23,5333.73,1.52854,1.60241,1.66361,0.96669,0.89165,0.98222,0.51431,1.59421,1.42444,1.85418,0.000909688,0.000909688,0.000909688
24,5502.89,1.45229,1.58157,1.60964,0.97324,0.97442,0.995,0.55923,1.52712,1.28042,1.81372,0.000894219,0.000894219,0.000894219
25,5646.83,1.45185,1.56317,1.61331,0.9375,0.96441,0.99167,0.52579,1.5641,1.3962,1.81225,0.00087875,0.00087875,0.00087875
26,5791.13,1.43624,1.43544,1.59052,0.97396,0.98305,0.995,0.52078,1.63198,1.35624,1.85887,0.000863281,0.000863281,0.000863281
27,5941.51,1.43001,1.43953,1.60191,0.95673,0.93616,0.97544,0.49212,1.60982,1.32875,1.85044,0.000847813,0.000847813,0.000847813
28,6091.37,1.45508,1.44368,1.58392,0.93058,0.95683,0.94923,0.49509,1.6306,1.27211,1.87102,0.000832344,0.000832344,0.000832344
29,6250.74,1.43832,1.45597,1.6198,0.97448,0.95849,0.9822,0.5532,1.53844,1.23363,1.81304,0.000816875,0.000816875,0.000816875
30,6392.14,1.41793,1.3309,1.60598,0.93916,0.94865,0.98248,0.50765,1.69928,1.37735,1.95384,0.000801406,0.000801406,0.000801406
31,6537.9,1.48788,1.44387,1.64463,0.95703,0.95319,0.96276,0.52876,1.63571,1.25003,1.88077,0.000785938,0.000785938,0.000785938
32,7269.19,1.46698,1.43372,1.63528,0.96803,0.98424,0.98043,0.54444,1.61605,1.15415,1.86573,0.000770469,0.000770469,0.000770469
33,7439.91,1.48726,1.45805,1.63048,0.97602,0.95294,0.98767,0.53111,1.58316,1.20463,1.84461,0.000755,0.000755,0.000755
34,7581.79,1.41914,1.34287,1.6033,0.94996,0.98129,0.99143,0.52721,1.6417,1.19895,1.9104,0.000739531,0.000739531,0.000739531
35,7860.84,1.37863,1.31132,1.54172,0.86362,0.94872,0.94532,0.48957,1.71586,1.2318,1.95128,0.000724062,0.000724062,0.000724062
36,8004.52,1.37146,1.31466,1.53263,0.96162,0.95663,0.98644,0.55272,1.6576,1.18322,1.92198,0.000708594,0.000708594,0.000708594
37,8148.85,1.36477,1.29374,1.58343,0.95756,0.96875,0.98574,0.53405,1.73142,1.18452,1.98464,0.000693125,0.000693125,0.000693125
38,8454.64,1.34122,1.23208,1.50575,0.97068,0.98438,0.99263,0.54471,1.59563,1.02645,1.85456,0.000677656,0.000677656,0.000677656
39,8594.02,1.36994,1.20985,1.5302,0.95262,0.98438,0.99263,0.56214,1.59027,1.02159,1.84069,0.000662188,0.000662188,0.000662188
40,8972.66,1.30468,1.19829,1.49806,0.91429,0.96875,0.97475,0.54807,1.61385,1.0749,1.84622,0.000646719,0.000646719,0.000646719
41,9115.24,1.34778,1.30594,1.54204,0.92372,0.95,0.97978,0.52718,1.67224,1.13142,1.90715,0.00063125,0.00063125,0.00063125
42,9254.74,1.35744,1.19267,1.52811,0.9376,0.98478,0.995,0.52723,1.67737,1.06106,1.91823,0.000615781,0.000615781,0.000615781
43,9394.32,1.37747,1.19286,1.565,0.98963,0.98438,0.9806,0.54222,1.6363,0.97048,1.86231,0.000600313,0.000600313,0.000600313
44,9536.05,1.36576,1.19179,1.52459,0.98015,1,0.995,0.53645,1.64856,0.98162,1.88773,0.000584844,0.000584844,0.000584844
45,9964.93,1.32598,1.15461,1.51286,0.98406,0.99849,0.995,0.56858,1.52947,0.92139,1.79491,0.000569375,0.000569375,0.000569375
46,10106.8,1.36128,1.1568,1.50295,0.96823,0.9808,0.98241,0.56224,1.59115,0.93859,1.84488,0.000553906,0.000553906,0.000553906
47,10250.3,1.25403,1.13477,1.47961,0.97801,1,0.995,0.54388,1.60675,0.97388,1.84779,0.000538438,0.000538438,0.000538438
48,10411.3,1.27493,1.07427,1.47205,0.98548,1,0.995,0.53437,1.62221,0.88295,1.8832,0.000522969,0.000522969,0.000522969
49,10571.2,1.26729,1.12919,1.47244,0.99044,1,0.995,0.56971,1.5587,0.86243,1.83264,0.0005075,0.0005075,0.0005075
50,10718.1,1.31747,1.09841,1.4744,0.95981,0.99124,0.99412,0.53279,1.6379,0.94747,1.85807,0.000492031,0.000492031,0.000492031
51,10937.3,1.26208,1.0618,1.4447,0.96142,0.99024,0.995,0.5228,1.67243,0.93938,1.89726,0.000476562,0.000476562,0.000476562
52,11093.4,1.2592,1.07132,1.45323,0.9686,0.98438,0.98023,0.51077,1.68648,0.884,1.90624,0.000461094,0.000461094,0.000461094
53,11237.7,1.34439,1.05754,1.48791,0.96527,0.97516,0.99,0.51236,1.76643,0.91216,1.99357,0.000445625,0.000445625,0.000445625
54,11379.2,1.22403,1.07707,1.45073,0.97129,0.98433,0.98428,0.53127,1.69767,0.89623,1.92025,0.000430156,0.000430156,0.000430156
55,11542.1,1.22156,1.00908,1.41148,0.96947,0.98438,0.98019,0.54197,1.59437,0.96935,1.82763,0.000414688,0.000414688,0.000414688
56,11704.5,1.22197,1.01794,1.43806,0.97217,0.99181,0.99412,0.55178,1.63772,0.85757,1.90082,0.000399219,0.000399219,0.000399219
